Customer_ID,Customer_Name,Industry,Years_in_Business,Has_CFO
CUS0222,"Powell, Hamilton and Simpson",Construction,3,No
CUS0223,"Wood, Law and Harris",Construction,11,No
CUS0224,"Hartley, Tyler and Nash",Construction,22,No
CUS0225,White-Thompson,Construction,24,No
CUS0226,Gordon-Powell,Construction,17,Yes
CUS0227,"Pope, Richardson and Armstrong",Construction,14,Yes
CUS0228,Lane PLC,Construction,23,Yes
CUS0229,Ellis-Walsh,Construction,5,Yes
CUS0230,Quinn LLC,Construction,22,No
CUS0231,"Davies, Begum and Martin",Construction,22,No
CUS0232,Clarke and Sons,Construction,6,No
CUS0233,Smith LLC,Construction,10,Yes
CUS0234,"Walters, Russell and Reed",Construction,1,Yes
CUS0235,Cooper-Wells,Construction,7,Yes
CUS0236,Cooke-Whitehead,Construction,19,No
CUS0237,Lane-Parry,Construction,11,Yes
CUS0238,Bradshaw-Schofield,Construction,15,No
CUS0239,Davis-Thomas,Construction,17,Yes
CUS0240,"Douglas, Lewis and Richardson",Construction,24,Yes
CUS0241,Lewis-Cameron,Construction,3,Yes
CUS0242,Moore-Richards,Construction,22,No
CUS0243,"O'Sullivan, Preston and Roberts",Construction,11,Yes
CUS0244,"Brown, Ford and Briggs",Construction,25,Yes
CUS0245,Burton PLC,Construction,10,Yes
CUS0246,Wilson Ltd,Construction,7,Yes
CUS0247,"Hawkins, Potts and Storey",Construction,2,Yes
CUS0248,Akhtar LLC,Construction,16,No
CUS0249,Dean-Ahmed,Construction,25,Yes
CUS0250,"Watson, Bradley and Patel",Construction,14,No
CUS0251,Higgins PLC,Construction,19,Yes
CUS0252,"Collins, Williams and Bevan",Construction,23,Yes
CUS0253,"Stanley, Holt and Johnson",Construction,13,Yes
CUS0254,"Thomas, Williamson and Pearce",Construction,21,No
CUS0255,"Watson, Murphy and Hancock",Construction,25,No
CUS0256,"Carter, Phillips and Wilson",Construction,4,No
CUS0257,Walker Ltd,Construction,8,Yes
CUS0258,Sharp and Sons,Construction,23,Yes
CUS0259,Harris-Taylor,Construction,2,Yes
CUS0260,Martin-Smith,Construction,4,Yes
CUS0261,"McKenzie, Hodgson and Thompson",Construction,15,No
CUS0262,Berry-Reid,Construction,18,Yes
CUS0263,"Townsend, Dodd and Kay",Construction,25,No
CUS0264,"Hill, Burns and Arnold",Construction,20,No
CUS0265,Green PLC,Construction,17,Yes
CUS0266,"Watson, Saunders and Miller",Construction,18,Yes
CUS0267,"Jordan, Bennett and Lowe",Construction,6,No
CUS0268,Watts-Horton,Construction,16,Yes
CUS0269,"Allen, Patel and Mitchell",Construction,25,Yes
CUS0270,Owen LLC,Construction,21,Yes
CUS0271,Collins LLC,Construction,25,Yes
CUS0272,Ward-Ahmed,Construction,21,Yes
CUS0273,Finch-Johnson,Construction,15,Yes
CUS0274,"Mahmood, Gibbs and White",Construction,10,Yes
CUS0275,"Thomas, Cox and Farrell",Construction,11,Yes
CUS0276,Webb-Norton,Construction,18,Yes
CUS0277,Stone Ltd,Construction,5,Yes
CUS0278,Kemp-Roberts,Construction,23,Yes
CUS0279,Black Group,Construction,7,Yes
CUS0280,Holt Group,Construction,14,Yes
CUS0281,O'Neill-Fox,Construction,15,Yes
CUS0282,"Hudson, Williams and Baldwin",Construction,7,No
CUS0283,Clarke LLC,Construction,13,No
CUS0284,Williams and Sons,Construction,19,No
CUS0285,Booth-Harrison,Construction,1,No
CUS0286,"Stokes, Mahmood and Wilkinson",Construction,25,Yes
CUS0287,Thomas-Hunter,Construction,16,Yes
CUS0288,"Roberts, Norris and Butcher",Construction,12,Yes
CUS0289,Wilson and Sons,Construction,13,No
CUS0290,Smith Inc,Construction,14,Yes
CUS0291,"Collins, Holmes and Thomas",Construction,24,Yes
CUS0292,"Patterson, O'Sullivan and Coleman",Construction,20,No
CUS0293,"Bentley, Bond and Bates",Construction,16,Yes
CUS0294,Bird and Sons,Construction,14,Yes
CUS0295,"Gordon, Byrne and Harris",Construction,13,Yes
CUS0296,Ward Inc,Construction,22,No
CUS0297,Russell Group,Construction,24,Yes
CUS0298,"Reynolds, Nicholson and Young",Construction,15,No
CUS0299,"Ali, Williams and Booth",Construction,20,Yes
