Application_ID,Customer_ID,Broker_ID,Beneficiary_ID,Project_Value,Guarantee_Amount,Submission_Date,Decision_Date,Manual_Underwriting_Days,SLA_Breached
APP00025,CUS0252,BRK005,BEN027,276685909.73,60300574.66,2024-09-08,2024-09-18,10,No
APP00026,CUS0128,,BEN046,625408654.08,118964376.41,2023-06-07,2023-06-20,13,No
APP00027,CUS0054,BRK000,BEN025,332884998.1,124228341.48,2024-02-05,2024-02-21,16,Yes
APP00028,CUS0171,BRK020,BEN038,136988347.11,64472698.5,2024-11-05,2024-11-21,16,Yes
APP00029,CUS0160,BRK012,BEN020,292156703.43,139144074.65,2024-02-16,2024-03-04,17,Yes
APP00030,CUS0124,BRK008,BEN025,365650521.86,186447396.94,2025-10-02,2025-10-22,20,Yes
APP00031,CUS0279,BRK024,BEN035,27889192.57,145579066.08,2024-02-14,2024-03-05,20,Yes
APP00032,CUS0149,,BEN004,819146602.44,159233538.78,2024-03-05,2024-03-21,16,Yes
APP00033,CUS0255,BRK009,BEN015,253429003.25,31251575.27,2025-04-17,2025-05-10,23,Yes
APP00034,CUS0193,BRK019,BEN030,582661775.2,107106296.54,2025-05-16,2025-06-12,27,Yes
APP00035,CUS0018,,BEN023,701932652.77,162553246.65,2025-05-06,2025-05-25,19,Yes
APP00036,CUS0127,,BEN022,167172154.79,122729241.51,2023-06-24,2023-06-29,5,No
APP00037,CUS0204,,BEN021,965751060.94,86375881.01,2026-02-27,2026-03-21,22,Yes
APP00038,CUS0132,BRK023,BEN033,558435422.93,137689049.56,2023-01-22,2023-01-27,5,No
APP00039,CUS0191,BRK024,BEN043,589001366.58,100342923.43,2024-03-28,2024-04-13,16,Yes
APP00040,CUS0247,BRK013,BEN005,116953268.62,188164893.55,2024-12-07,2024-12-09,2,No
APP00041,CUS0159,BRK006,BEN033,483443072.78,95494424.98,2023-10-18,2023-10-31,13,No
APP00042,CUS0231,BRK009,BEN002,810375750.98,23459510.71,2025-06-16,2025-07-11,25,Yes
APP00043,CUS0055,,BEN010,929992524.04,148227652.2,2024-12-03,2024-12-25,22,Yes
APP00044,CUS0282,BRK017,BEN027,958504159.11,46755181.71,2025-11-22,2025-11-29,7,No
APP00045,CUS0094,BRK021,BEN027,396186795.75,147608979.72,2025-04-09,2025-05-01,22,Yes
APP00046,CUS0219,BRK022,BEN013,206578694.89,150588936.32,2024-02-09,2024-02-25,16,Yes
APP00047,CUS0052,,BEN034,187772875.8,65533989.86,2023-05-09,2023-05-29,20,Yes
APP00048,CUS0134,,BEN031,528187304.61,128002162.84,2025-07-26,2025-07-31,5,No
APP00049,CUS0200,BRK011,BEN022,845672284.87,123663854.53,2025-03-06,2025-03-27,21,Yes
APP00050,CUS0043,,BEN020,118743791.01,61423310.51,2024-09-01,2024-09-22,21,Yes
APP00051,CUS0072,BRK013,BEN038,138729431.24,77050137.59,2024-01-10,2024-01-23,13,No
APP00052,CUS0275,,BEN041,930764242.77,35060343.03,2024-01-16,2024-02-02,17,Yes
APP00053,CUS0147,BRK010,BEN028,619790568.81,173171685.06,2023-12-08,2023-12-25,17,Yes
APP00054,CUS0069,BRK012,BEN035,505932581.71,99246484.65,2023-01-20,2023-02-06,17,Yes
APP00055,CUS0227,BRK002,BEN036,31829844.94,152330795.4,2025-10-04,2025-10-19,15,Yes
APP00056,CUS0140,BRK009,BEN010,780959457.23,113347267.01,2024-08-21,2024-08-24,3,No
APP00057,CUS0261,BRK003,BEN017,775337914.84,164744920.2,2025-10-11,2025-10-30,19,Yes
APP00058,CUS0021,,BEN028,546806921.45,197960257.71,2025-01-21,2025-02-09,19,Yes
APP00059,CUS0126,BRK001,BEN028,263552409.52,172508825.29,2023-07-29,2023-08-23,25,Yes
APP00060,CUS0060,,BEN015,210668289.42,147653789.91,2023-06-28,2023-07-14,16,Yes
APP00061,CUS0219,BRK004,BEN013,813716335.63,161185378.43,2024-12-19,2025-01-17,29,Yes
APP00062,CUS0272,BRK017,BEN010,324329962.24,140958725.47,2026-03-13,2026-03-26,13,No
APP00063,CUS0136,,BEN032,985502813.96,136020213.53,2024-08-15,2024-09-04,20,Yes
APP00064,CUS0210,,BEN017,867180542.84,25814189.64,2023-07-15,2023-07-21,6,No
APP00065,CUS0074,,BEN015,761712113.89,135408793.46,2023-09-29,2023-10-08,9,No
APP00066,CUS0295,,BEN040,414810864.28,90672348.65,2025-09-29,2025-10-05,6,No
APP00067,CUS0263,,BEN044,936399777.97,74129699.23,2023-07-10,2023-07-24,14,No
APP00068,CUS0297,BRK024,BEN046,94048516.43,194443983.24,2025-09-26,2025-10-08,12,No
APP00069,CUS0032,,BEN025,218612105.08,86213798.59,2025-01-03,2025-02-01,29,Yes
APP00070,CUS0137,BRK009,BEN021,547763224.91,26553552.94,2024-03-09,2024-03-26,17,Yes
APP00071,CUS0175,,BEN048,49360851.89,20365161.01,2025-09-20,2025-10-17,27,Yes
APP00072,CUS0063,,BEN010,441844662.93,634848.34,2025-07-30,2025-08-01,2,No
APP00073,CUS0067,,BEN019,159818485.44,186578749.76,2025-05-26,2025-06-03,8,No
APP00074,CUS0184,BRK011,BEN042,903896468.57,33522253.29,2024-07-15,2024-07-19,4,No
APP00075,CUS0156,,BEN048,234909697.64,131269303.06,2025-03-22,2025-04-13,22,Yes
APP00076,CUS0109,BRK004,BEN037,226964670.6,136156553.66,2023-07-14,2023-07-16,2,No
APP00077,CUS0175,,BEN027,694336970.12,95801198.17,2023-01-20,2023-01-22,2,No
APP00078,CUS0045,,BEN006,104098331.68,73828557.08,2024-04-13,2024-04-27,14,No
APP00079,CUS0195,,BEN048,874622798.12,128494441.63,2024-09-04,2024-09-10,6,No
APP00080,CUS0271,BRK019,BEN041,164952433.24,70561949.91,2023-10-20,2023-10-24,4,No
APP00081,CUS0077,,BEN039,686879603.71,172062523.66,2024-03-12,2024-04-03,22,Yes
APP00082,CUS0051,BRK003,BEN037,730279139.75,70631360.26,2023-06-27,2023-07-27,30,Yes
APP00083,CUS0071,BRK020,BEN005,248918860.16,120399312.82,2025-05-29,2025-06-10,12,No
APP00084,CUS0013,,BEN042,875951360.87,41486420.77,2024-08-06,2024-09-01,26,Yes
APP00085,CUS0200,BRK001,BEN015,495392832.22,22992360.69,2025-11-09,2025-11-17,8,No
APP00086,CUS0036,BRK000,BEN023,933990477.27,26830584.71,2025-10-20,2025-11-11,22,Yes
APP00087,CUS0187,BRK005,BEN048,471543611.36,197479569.84,2026-03-10,2026-03-25,15,Yes
APP00088,CUS0034,BRK006,BEN002,922656709.64,189761659.39,2023-05-30,2023-06-01,2,No
APP00089,CUS0146,,BEN032,767342890.67,85003259.42,2025-03-26,2025-04-13,18,Yes
APP00090,CUS0274,BRK004,BEN017,84513476.7,16264801.61,2025-04-03,2025-04-07,4,No
APP00091,CUS0079,BRK012,BEN037,634659953.11,166988030.6,2024-02-21,2024-03-19,27,Yes
APP00092,CUS0223,,BEN015,58848038.08,17699453.28,2023-05-16,2023-05-27,11,No
APP00093,CUS0232,,BEN003,309980773.81,148467855.06,2025-06-08,2025-06-13,5,No
APP00094,CUS0006,,BEN044,12339252.53,99534380.04,2023-12-26,2023-12-31,5,No
APP00095,CUS0264,,BEN046,259987714.56,74687951.46,2024-12-11,2024-12-29,18,Yes
APP00096,CUS0060,,BEN001,335676015.29,86150251.58,2024-07-04,2024-07-29,25,Yes
APP00097,CUS0134,,BEN036,627905300.07,99481440.0,2025-12-08,2025-12-12,4,No
APP00098,CUS0028,BRK018,BEN010,368320090.08,51395658.17,2025-11-12,2025-11-25,13,No
APP00099,CUS0293,,BEN007,229176018.73,102010564.54,2023-07-30,2023-08-29,30,Yes
APP00100,CUS0006,BRK015,BEN023,383596494.89,30441891.31,2023-04-01,2023-04-30,29,Yes
APP00101,CUS0214,BRK007,BEN026,915938910.12,64327059.94,2023-03-14,2023-04-02,19,Yes
APP00102,CUS0190,BRK021,BEN003,180165005.92,160965434.88,2023-06-09,2023-06-29,20,Yes
APP00103,CUS0035,,BEN018,773753952.03,62484205.92,2023-04-05,2023-04-19,14,No
APP00104,CUS0233,BRK006,BEN018,564242934.08,61129906.8,2023-06-26,2023-07-15,19,Yes
APP00105,CUS0188,BRK015,BEN049,776110070.0,146626435.68,2024-05-11,2024-05-27,16,Yes
APP00106,CUS0125,BRK013,BEN001,233764744.12,69611527.7,2026-01-24,2026-02-19,26,Yes
APP00107,CUS0000,,BEN024,849156981.79,145579400.29,2023-01-20,2023-02-01,12,No
APP00108,CUS0271,,BEN026,492536847.97,12449067.59,2023-08-01,2023-08-09,8,No
APP00109,CUS0143,BRK007,BEN033,413643746.7,179167799.06,2023-10-19,2023-11-12,24,Yes
APP00110,CUS0043,BRK016,BEN008,637578464.35,79173082.2,2025-07-27,2025-08-21,25,Yes
APP00111,CUS0222,,BEN008,237534963.01,52567692.32,2026-03-08,2026-03-11,3,No
APP00112,CUS0201,,BEN047,326925317.21,90825191.54,2024-10-07,2024-11-03,27,Yes
APP00113,CUS0103,BRK024,BEN037,109863860.88,21578721.15,2024-04-23,2024-04-27,4,No
APP00114,CUS0160,BRK017,BEN022,964670087.53,41923427.01,2025-07-09,2025-07-25,16,Yes
APP00115,CUS0135,,BEN005,158457761.69,137367941.17,2024-09-23,2024-10-09,16,Yes
APP00116,CUS0167,BRK022,BEN015,968431604.17,79550770.3,2023-03-24,2023-04-01,8,No
APP00117,CUS0153,BRK005,BEN001,952144510.22,170992960.27,2023-04-11,2023-05-04,23,Yes
APP00118,CUS0281,BRK014,BEN006,804092856.69,28388711.33,2026-02-12,2026-03-09,25,Yes
APP00119,CUS0113,BRK012,BEN023,686598976.77,187546192.16,2023-01-25,2023-01-28,3,No
APP00120,CUS0132,,BEN004,22778382.56,13362171.19,2023-06-22,2023-07-12,20,Yes
APP00121,CUS0065,BRK010,BEN007,43653622.77,92468486.94,2025-06-27,2025-07-24,27,Yes
APP00122,CUS0221,,BEN025,496630264.82,76854522.99,2023-12-11,2023-12-31,20,Yes
APP00123,CUS0181,BRK005,BEN017,280574699.73,176743047.88,2025-05-23,2025-05-30,7,No
APP00124,CUS0125,,BEN031,412580214.09,110362388.71,2023-03-12,2023-04-02,21,Yes
APP00125,CUS0143,BRK013,BEN012,643009873.11,159540989.41,2023-05-05,2023-05-09,4,No
APP00126,CUS0278,,BEN024,782133851.08,72142865.91,2024-05-25,2024-06-16,22,Yes
APP00127,CUS0248,BRK018,BEN032,322282814.25,54451919.11,2026-01-20,2026-02-16,27,Yes
APP00128,CUS0112,BRK024,BEN017,59532639.05,198310499.02,2023-02-23,2023-03-07,12,No
APP00129,CUS0299,,BEN010,101034202.97,131544452.06,2025-12-20,2026-01-02,13,No
APP00130,CUS0028,,BEN014,576116416.51,196541594.83,2024-06-29,2024-07-18,19,Yes
APP00131,CUS0088,BRK018,BEN020,806404015.13,139676499.44,2025-03-06,2025-03-19,13,No
APP00132,CUS0180,,BEN036,142960188.12,189699516.96,2023-02-27,2023-03-23,24,Yes
APP00133,CUS0158,BRK001,BEN005,57111808.82,120531725.9,2025-10-05,2025-10-24,19,Yes
APP00134,CUS0244,BRK019,BEN012,806638967.9,68481429.33,2023-02-10,2023-02-28,18,Yes
APP00135,CUS0165,BRK004,BEN037,704991645.39,28759706.54,2023-12-30,2024-01-26,27,Yes
APP00136,CUS0269,,BEN004,374217189.3,188413681.09,2023-08-16,2023-09-14,29,Yes
APP00137,CUS0051,BRK010,BEN008,975884810.71,146604229.07,2025-03-21,2025-04-10,20,Yes
APP00138,CUS0249,,BEN011,707475738.32,112614473.28,2025-06-13,2025-07-10,27,Yes
APP00139,CUS0089,BRK023,BEN044,295222747.45,35952803.56,2024-12-31,2025-01-09,9,No
APP00140,CUS0293,BRK024,BEN036,33350360.18,120676539.16,2023-01-04,2023-01-28,24,Yes
APP00141,CUS0289,BRK015,BEN009,331837257.74,16022424.37,2024-03-28,2024-04-19,22,Yes
APP00142,CUS0085,,BEN005,821840143.62,134169901.94,2024-12-11,2024-12-23,12,No
APP00143,CUS0005,BRK007,BEN044,68726985.28,51703259.34,2024-11-18,2024-12-04,16,Yes
APP00144,CUS0000,BRK014,BEN046,420233575.96,33684519.36,2023-08-10,2023-09-04,25,Yes
APP00145,CUS0193,BRK012,BEN006,828978170.59,157851633.9,2025-04-27,2025-05-14,17,Yes
APP00146,CUS0115,BRK002,BEN002,295613704.5,64084023.14,2026-03-29,2026-04-20,22,Yes
APP00147,CUS0175,BRK012,BEN010,732253100.19,109635728.59,2023-08-03,2023-08-07,4,No
APP00148,CUS0247,,BEN027,942499815.84,33416940.36,2023-07-10,2023-07-22,12,No
APP00149,CUS0027,BRK006,BEN012,409870585.88,111045430.25,2025-06-08,2025-06-15,7,No
APP00150,CUS0144,BRK003,BEN003,393509312.4,110157695.39,2026-01-11,2026-01-21,10,No
APP00151,CUS0027,BRK013,BEN005,295254899.52,132573035.09,2025-10-02,2025-10-08,6,No
APP00152,CUS0049,BRK005,BEN040,292519654.58,16846250.9,2025-09-10,2025-09-18,8,No
APP00153,CUS0203,BRK021,BEN016,92045740.67,109053142.83,2023-08-25,2023-09-05,11,No
APP00154,CUS0195,BRK014,BEN002,264032670.72,93279062.25,2024-01-14,2024-01-27,13,No
APP00155,CUS0137,BRK004,BEN048,696774480.1,19792172.89,2024-04-08,2024-05-06,28,Yes
APP00156,CUS0277,BRK024,BEN037,228285245.87,12666257.34,2024-12-05,2025-01-01,27,Yes
APP00157,CUS0267,BRK017,BEN043,867027119.69,95227465.43,2025-03-03,2025-03-31,28,Yes
APP00158,CUS0153,BRK022,BEN002,502599368.85,180140784.76,2024-04-27,2024-05-14,17,Yes
APP00159,CUS0075,BRK024,BEN028,173706093.83,196881414.05,2026-03-16,2026-04-08,23,Yes
APP00160,CUS0098,BRK013,BEN005,988291656.4,87360952.48,2024-03-09,2024-04-05,27,Yes
APP00161,CUS0132,BRK023,BEN004,87940413.44,111494658.69,2023-10-30,2023-11-27,28,Yes
APP00162,CUS0141,BRK000,BEN044,623434870.66,104751121.08,2026-02-04,2026-02-16,12,No
APP00163,CUS0212,BRK018,BEN037,583094409.79,192983917.11,2025-05-09,2025-05-14,5,No
APP00164,CUS0288,,BEN018,867607792.5,176087089.03,2023-07-25,2023-07-30,5,No
APP00165,CUS0196,,BEN036,609353189.8,7974401.26,2025-04-21,2025-05-01,10,No
APP00166,CUS0073,,BEN043,693967591.91,8237115.23,2024-07-18,2024-08-01,14,No
APP00167,CUS0121,BRK015,BEN017,897134330.79,4536461.27,2024-11-09,2024-12-03,24,Yes
APP00168,CUS0143,,BEN044,685167175.11,194513080.22,2024-09-12,2024-09-23,11,No
APP00169,CUS0153,,BEN028,774256869.29,64513228.91,2024-04-11,2024-04-17,6,No
APP00170,CUS0045,BRK006,BEN026,741203854.12,152018912.4,2025-05-03,2025-05-24,21,Yes
APP00171,CUS0028,BRK005,BEN004,311811970.2,101605657.41,2025-02-04,2025-03-04,28,Yes
APP00172,CUS0268,,BEN001,174563618.66,175098520.95,2023-10-05,2023-10-31,26,Yes
APP00173,CUS0029,BRK014,BEN003,918113038.27,141074472.07,2024-02-16,2024-03-15,28,Yes
APP00174,CUS0237,BRK020,BEN007,681493186.08,48766649.87,2024-07-15,2024-07-28,13,No
APP00175,CUS0228,BRK015,BEN037,551782386.89,69177676.27,2025-09-28,2025-10-19,21,Yes
APP00176,CUS0046,BRK012,BEN003,163744498.19,114665483.17,2024-06-13,2024-07-08,25,Yes
APP00177,CUS0113,,BEN043,207524255.17,130491672.9,2024-03-14,2024-04-12,29,Yes
APP00178,CUS0004,BRK004,BEN041,174027455.83,160272529.26,2025-11-17,2025-11-19,2,No
APP00179,CUS0156,,BEN045,643097570.98,85049456.73,2024-04-03,2024-04-13,10,No
APP00180,CUS0178,BRK006,BEN029,302842946.18,104367260.72,2025-02-10,2025-03-11,29,Yes
APP00181,CUS0052,BRK021,BEN023,561895660.14,118957622.24,2025-03-24,2025-04-13,20,Yes
APP00182,CUS0055,BRK010,BEN017,640954150.87,172367574.25,2024-08-01,2024-08-12,11,No
APP00183,CUS0152,BRK016,BEN048,241061775.6,11826547.54,2024-06-18,2024-07-10,22,Yes
APP00184,CUS0163,,BEN046,26429815.85,99725879.27,2025-04-07,2025-04-30,23,Yes
APP00185,CUS0214,BRK023,BEN002,583440678.71,198953369.15,2024-08-28,2024-09-07,10,No
APP00186,CUS0113,,BEN040,785112158.24,181352037.85,2024-01-24,2024-02-05,12,No
APP00187,CUS0153,,BEN042,876618289.56,36636603.63,2025-01-04,2025-01-22,18,Yes
APP00188,CUS0065,,BEN046,808535525.27,152702184.55,2023-07-19,2023-08-05,17,Yes
APP00189,CUS0171,,BEN014,355928112.72,148969880.9,2024-01-10,2024-02-02,23,Yes
APP00190,CUS0169,BRK018,BEN018,464296867.56,23997403.51,2024-09-20,2024-10-05,15,Yes
APP00191,CUS0298,BRK019,BEN004,472747462.72,39311489.09,2023-04-20,2023-05-19,29,Yes
APP00192,CUS0195,BRK013,BEN003,870978297.21,30580300.99,2023-09-03,2023-10-02,29,Yes
APP00193,CUS0209,,BEN029,144080928.15,172547591.7,2024-02-15,2024-02-27,12,No
APP00194,CUS0041,BRK020,BEN011,314100657.69,12073710.85,2024-01-05,2024-01-31,26,Yes
APP00195,CUS0107,,BEN010,576702636.82,32107805.92,2025-07-14,2025-07-24,10,No
APP00196,CUS0222,,BEN025,429596423.15,95741355.05,2023-06-30,2023-07-06,6,No
APP00197,CUS0273,BRK011,BEN000,892114385.81,151491123.73,2023-01-10,2023-01-13,3,No
APP00198,CUS0009,,BEN040,733869637.67,45640009.4,2025-12-23,2025-12-31,8,No
APP00199,CUS0066,BRK016,BEN037,306808977.0,13524760.98,2024-12-06,2024-12-17,11,No
APP00200,CUS0148,BRK016,BEN038,524593526.02,87016213.39,2023-04-04,2023-04-15,11,No
APP00201,CUS0250,BRK006,BEN010,948136269.35,183681979.06,2023-10-02,2023-10-14,12,No
APP00202,CUS0116,BRK004,BEN013,734342542.69,118143720.54,2025-04-06,2025-04-08,2,No
APP00203,CUS0187,,BEN002,375817240.24,128244056.51,2023-12-13,2023-12-18,5,No
APP00204,CUS0024,BRK001,BEN042,109005336.76,167305941.91,2025-12-31,2026-01-21,21,Yes
APP00205,CUS0059,BRK012,BEN007,547735102.34,95142069.5,2023-04-09,2023-05-03,24,Yes
APP00206,CUS0004,BRK021,BEN006,662820482.92,54360441.33,2023-11-10,2023-11-18,8,No
APP00207,CUS0053,BRK019,BEN007,283424061.4,157059633.2,2023-10-08,2023-10-23,15,Yes
APP00208,CUS0102,,BEN033,973146602.6,71905406.39,2025-10-16,2025-10-24,8,No
APP00209,CUS0082,BRK015,BEN013,688515711.54,96392456.58,2025-04-19,2025-04-30,11,No
APP00210,CUS0006,,BEN007,835396933.1,133969875.14,2024-04-25,2024-04-27,2,No
APP00211,CUS0261,BRK023,BEN006,904874604.57,129045189.92,2023-11-02,2023-11-06,4,No
APP00212,CUS0135,BRK003,BEN011,874266308.71,170523612.8,2025-07-24,2025-08-04,11,No
APP00213,CUS0160,BRK003,BEN006,851394654.78,178113256.3,2025-01-07,2025-02-03,27,Yes
APP00214,CUS0070,,BEN010,329332165.24,178958259.67,2023-01-20,2023-02-18,29,Yes
APP00215,CUS0047,BRK010,BEN011,114718167.9,80349920.08,2024-07-03,2024-08-02,30,Yes
APP00216,CUS0197,,BEN030,800099197.85,129944873.53,2025-07-23,2025-08-02,10,No
APP00217,CUS0067,,BEN003,981587601.35,168947794.56,2023-12-08,2023-12-13,5,No
APP00218,CUS0247,,BEN043,438724642.2,122458970.08,2023-08-01,2023-08-16,15,Yes
APP00219,CUS0014,,BEN046,973471135.65,26565738.24,2025-01-04,2025-01-25,21,Yes
APP00220,CUS0210,BRK002,BEN016,655318595.3,2965862.49,2025-09-26,2025-10-01,5,No
APP00221,CUS0295,,BEN014,977917661.99,134133949.46,2025-12-10,2026-01-05,26,Yes
APP00222,CUS0267,,BEN039,96146896.31,132511795.94,2024-11-23,2024-12-11,18,Yes
APP00223,CUS0177,,BEN041,385491740.79,167887087.74,2024-05-24,2024-06-10,17,Yes
APP00224,CUS0027,BRK005,BEN032,848996729.2,170448294.71,2026-02-17,2026-03-19,30,Yes
APP00225,CUS0251,BRK010,BEN017,51300363.81,44929951.37,2023-12-05,2023-12-09,4,No
APP00226,CUS0120,BRK014,BEN036,448650487.08,171389550.22,2025-02-14,2025-02-28,14,No
APP00227,CUS0060,,BEN047,653719630.14,20977342.64,2025-07-04,2025-07-16,12,No
APP00228,CUS0285,BRK002,BEN038,963208077.03,127688855.42,2025-04-24,2025-04-27,3,No
APP00229,CUS0105,,BEN029,950404774.86,72986824.28,2025-11-07,2025-11-26,19,Yes
APP00230,CUS0114,,BEN021,560590694.26,124141714.95,2023-04-22,2023-05-20,28,Yes
APP00231,CUS0186,,BEN007,98339585.3,131952595.63,2025-08-26,2025-09-19,24,Yes
APP00232,CUS0181,,BEN018,548142891.11,75091126.91,2023-01-05,2023-01-17,12,No
APP00233,CUS0084,BRK022,BEN047,721837536.36,21838820.35,2023-08-06,2023-08-09,3,No
APP00234,CUS0061,,BEN025,216373914.86,164998551.67,2024-02-06,2024-02-14,8,No
APP00235,CUS0173,BRK013,BEN002,926699904.01,167574514.38,2024-01-26,2024-02-19,24,Yes
APP00236,CUS0230,BRK018,BEN032,135501378.42,100016314.1,2023-09-10,2023-10-06,26,Yes
APP00237,CUS0024,BRK013,BEN037,483449031.57,101912413.36,2025-12-22,2026-01-16,25,Yes
APP00238,CUS0296,BRK004,BEN006,388018173.64,120308931.35,2023-12-29,2024-01-22,24,Yes
APP00239,CUS0196,BRK019,BEN044,762612281.61,55082378.05,2024-10-21,2024-11-08,18,Yes
APP00240,CUS0231,,BEN008,413332727.33,140152849.84,2024-12-03,2024-12-14,11,No
APP00241,CUS0280,,BEN045,737081829.75,110939521.79,2025-11-15,2025-11-26,11,No
APP00242,CUS0107,,BEN018,686924686.02,184277757.0,2024-03-21,2024-03-29,8,No
APP00243,CUS0091,BRK022,BEN040,323059016.02,23523347.83,2023-09-29,2023-10-23,24,Yes
APP00244,CUS0245,BRK021,BEN045,418060455.19,149699810.31,2024-12-22,2025-01-10,19,Yes
APP00245,CUS0216,,BEN033,107363995.38,76483627.55,2025-12-29,2026-01-09,11,No
APP00246,CUS0028,BRK024,BEN010,983548861.23,136836370.57,2023-04-19,2023-05-12,23,Yes
APP00247,CUS0031,,BEN018,204796902.42,108463831.44,2023-10-27,2023-11-24,28,Yes
APP00248,CUS0231,BRK021,BEN047,562323098.38,45249323.54,2025-01-04,2025-02-01,28,Yes
APP00249,CUS0121,BRK022,BEN018,693243139.14,9872486.31,2026-02-23,2026-03-09,14,No
APP00250,CUS0213,,BEN043,313341326.91,110648857.21,2025-02-20,2025-03-06,14,No
APP00251,CUS0128,BRK024,BEN028,830153498.47,182341532.23,2023-01-27,2023-02-21,25,Yes
APP00252,CUS0279,,BEN012,776370598.38,192875819.71,2025-01-23,2025-02-18,26,Yes
APP00253,CUS0090,,BEN004,187789604.95,35172128.81,2024-08-25,2024-09-10,16,Yes
APP00254,CUS0193,BRK008,BEN035,264975355.71,32605305.53,2025-11-18,2025-11-23,5,No
APP00255,CUS0169,BRK004,BEN002,154549680.19,64864690.96,2024-06-06,2024-06-08,2,No
APP00256,CUS0154,BRK018,BEN035,358727502.58,156914273.99,2023-04-15,2023-05-11,26,Yes
APP00257,CUS0112,,BEN033,69108292.64,101275499.92,2024-10-12,2024-10-30,18,Yes
APP00258,CUS0274,BRK011,BEN014,883513342.13,132835228.05,2025-05-01,2025-05-20,19,Yes
APP00259,CUS0150,BRK024,BEN039,530968396.71,199327900.98,2024-11-09,2024-11-22,13,No
APP00260,CUS0177,BRK020,BEN039,918688691.89,49143519.19,2023-01-19,2023-01-24,5,No
APP00261,CUS0164,BRK003,BEN024,257333966.1,144933133.87,2023-03-23,2023-04-15,23,Yes
APP00262,CUS0191,BRK016,BEN028,487317904.46,59638576.93,2023-02-20,2023-03-10,18,Yes
APP00263,CUS0263,BRK003,BEN010,971657141.14,154777044.39,2024-01-30,2024-02-11,12,No
APP00264,CUS0033,BRK020,BEN049,213961956.73,137238334.01,2025-12-28,2025-12-30,2,No
APP00265,CUS0275,,BEN047,775431533.72,129488951.28,2023-08-01,2023-08-09,8,No
APP00266,CUS0078,BRK022,BEN021,38848428.43,15112981.82,2023-05-28,2023-06-22,25,Yes
APP00267,CUS0128,BRK018,BEN014,911075587.86,81822739.31,2023-12-31,2024-01-27,27,Yes
APP00268,CUS0207,BRK000,BEN024,673625433.6,107199456.83,2025-07-12,2025-08-03,22,Yes
APP00269,CUS0299,BRK002,BEN022,928119702.42,21674040.6,2023-05-10,2023-06-05,26,Yes
APP00270,CUS0044,BRK014,BEN024,395718144.97,132314271.4,2024-09-09,2024-09-30,21,Yes
APP00271,CUS0273,BRK023,BEN025,796973666.61,169968753.89,2025-08-28,2025-09-04,7,No
APP00272,CUS0073,BRK023,BEN041,373757384.39,189918288.15,2024-08-27,2024-09-18,22,Yes
