Application_ID,Capital_Score,Capability_Score,Credibility_Score,Character_Score,Credit_Score,Site_Visit,Committee_Decision,Risk_Score
APP00058,1,2,4,5,634,Yes,Approve,71
APP00059,5,1,1,5,804,No,Approve,79
APP00060,3,4,4,5,567,Yes,Decline,52
APP00061,5,1,1,4,421,Yes,Approve,74
APP00062,4,4,4,1,333,Yes,Decline,60
APP00063,3,2,4,4,437,Yes,Approve,82
APP00064,4,1,5,4,781,Yes,Approve,64
APP00065,5,1,4,3,806,Yes,Decline,50
APP00066,5,3,3,3,362,Yes,Approve,64
APP00067,2,3,3,5,327,No,Decline,42
APP00068,3,4,1,4,653,No,Approve,80
APP00069,3,1,2,2,540,No,Approve,66
APP00070,1,1,3,1,645,Yes,Approve,77
APP00071,3,1,4,4,827,No,Approve,74
APP00072,1,4,5,1,624,Yes,Decline,57
APP00073,3,5,1,4,402,No,Approve,64
APP00074,3,4,5,3,470,No,Decline,53
APP00075,4,2,4,1,848,Yes,Approve,63
APP00076,1,3,5,4,531,No,Decline,56
APP00077,5,1,5,3,579,Yes,Decline,45
APP00078,4,4,2,3,378,No,Approve,73
APP00079,5,3,4,5,620,Yes,Decline,59
APP00080,3,5,5,4,484,No,Approve,65
APP00081,5,2,5,4,518,No,Approve,80
APP00082,4,3,5,5,744,No,Approve,87
APP00083,1,5,2,3,773,Yes,Approve,86
APP00084,3,4,4,3,365,No,Decline,49
APP00085,3,3,2,3,541,Yes,Approve,66
APP00086,2,2,1,2,617,Yes,Decline,47
APP00087,4,4,1,2,463,Yes,Approve,75
APP00088,3,3,5,2,343,No,Decline,41
APP00089,1,1,1,3,605,No,Approve,71
APP00090,3,1,4,2,541,Yes,Approve,66
APP00091,5,1,5,5,837,Yes,Approve,87
APP00092,2,5,1,3,637,No,Decline,45
APP00093,4,2,4,2,447,Yes,Approve,87
APP00094,3,4,4,3,357,Yes,Decline,53
APP00095,1,3,5,4,786,No,Approve,63
APP00096,2,3,4,3,615,Yes,Decline,57
APP00097,1,1,2,3,693,Yes,Approve,78
APP00098,3,1,5,2,753,Yes,Approve,84
APP00099,3,3,1,2,604,Yes,Approve,65
APP00100,4,3,4,1,580,No,Decline,50
APP00101,4,4,4,3,732,No,Approve,89
APP00102,2,3,5,1,660,Yes,Decline,46
APP00103,5,3,4,1,353,No,Approve,86
APP00104,4,2,1,4,504,No,Decline,51
APP00105,5,1,1,2,555,Yes,Decline,60
APP00106,2,5,4,3,762,Yes,Approve,89
APP00107,2,3,2,5,635,No,Approve,87
APP00108,1,4,3,2,702,No,Decline,52
APP00109,2,1,1,5,534,No,Approve,76
APP00110,2,3,2,1,710,No,Approve,69
APP00111,3,2,1,3,474,No,Approve,78
APP00112,1,5,4,4,806,Yes,Decline,47
APP00113,2,2,3,3,806,Yes,Approve,85
APP00114,2,5,2,3,493,Yes,Approve,67
APP00115,2,1,3,3,541,No,Approve,66
APP00116,3,5,4,1,310,Yes,Decline,55
APP00117,4,2,4,4,562,Yes,Decline,60
APP00118,1,1,3,2,782,No,Approve,75
APP00119,5,1,1,3,816,No,Approve,78
APP00120,4,3,2,5,342,Yes,Decline,59
APP00121,2,5,4,3,779,Yes,Decline,56
APP00122,5,4,2,3,419,Yes,Decline,60
APP00123,4,3,3,4,589,No,Decline,48
APP00124,5,3,5,3,746,No,Decline,56
APP00125,4,2,5,4,354,Yes,Decline,60
APP00126,2,2,1,4,566,Yes,Decline,43
APP00127,4,1,4,1,752,Yes,Approve,69
APP00128,5,4,4,4,415,No,Approve,85
APP00129,1,3,1,2,590,Yes,Decline,49
APP00130,5,3,5,5,517,Yes,Decline,50
APP00131,5,5,2,4,378,Yes,Decline,40
APP00132,1,3,1,3,424,Yes,Approve,71
APP00133,1,3,2,1,383,Yes,Approve,77
APP00134,4,4,3,5,305,Yes,Approve,85
APP00135,5,4,3,5,432,Yes,Decline,42
APP00136,3,3,1,1,690,Yes,Decline,43
APP00137,2,2,4,1,321,No,Decline,56
APP00138,4,4,3,2,423,Yes,Decline,50
APP00139,3,5,2,3,398,No,Approve,67
APP00140,2,4,4,4,787,Yes,Approve,72
APP00141,4,1,4,3,490,Yes,Approve,78
APP00142,1,1,5,3,774,No,Approve,67
APP00143,2,4,5,5,385,Yes,Approve,81
APP00144,1,4,3,2,430,No,Approve,67
APP00145,2,5,4,3,348,Yes,Decline,59
APP00146,5,1,5,4,722,Yes,Decline,42
APP00147,5,3,3,3,383,No,Approve,82
APP00148,1,4,2,2,702,Yes,Decline,41
APP00149,3,3,5,4,760,No,Approve,66
APP00150,3,2,2,2,380,No,Decline,56
APP00151,3,1,4,5,318,Yes,Approve,78
APP00152,1,2,4,4,714,No,Decline,47
APP00153,5,4,3,5,669,No,Approve,87
APP00154,4,3,1,2,438,Yes,Approve,84
APP00155,1,2,1,2,792,No,Decline,47
APP00156,2,4,5,2,388,Yes,Approve,81
APP00157,2,4,4,1,419,Yes,Approve,69
APP00158,4,4,4,1,760,Yes,Decline,49
APP00159,3,5,4,1,641,Yes,Decline,52
APP00160,4,4,4,5,597,Yes,Approve,80
APP00161,4,5,5,5,799,Yes,Approve,65
APP00162,5,1,4,5,623,Yes,Decline,43
APP00163,4,4,1,4,655,Yes,Decline,57
APP00164,1,2,3,2,780,Yes,Approve,67
APP00165,5,2,5,3,779,Yes,Decline,54
APP00166,4,4,3,4,465,No,Decline,58
APP00167,1,4,2,2,504,Yes,Decline,58
APP00168,1,4,4,3,540,Yes,Approve,71
APP00169,1,3,3,3,462,Yes,Decline,43
APP00170,1,1,3,4,416,No,Approve,72
APP00171,5,2,4,3,648,No,Decline,47
APP00172,1,5,3,2,827,No,Approve,89
APP00173,1,4,4,1,408,No,Decline,46
APP00174,1,5,1,5,407,Yes,Approve,79
APP00175,2,3,2,3,752,No,Decline,47
APP00176,1,2,3,3,441,Yes,Approve,71
APP00177,4,4,1,2,785,Yes,Decline,52
APP00178,2,1,3,3,724,Yes,Approve,72
APP00179,2,2,5,4,533,Yes,Approve,82
APP00180,4,4,4,5,670,No,Approve,67
APP00181,2,1,5,1,386,Yes,Approve,68
APP00182,2,4,1,4,337,No,Approve,65
APP00183,2,5,1,5,602,Yes,Approve,81
APP00184,5,3,3,3,308,No,Approve,83
APP00185,5,2,4,4,510,No,Approve,73
APP00186,5,4,3,4,502,No,Approve,79
APP00187,1,5,3,4,429,Yes,Decline,45
APP00188,3,2,1,5,619,Yes,Approve,74
APP00189,2,1,1,5,564,Yes,Approve,88
APP00190,3,4,5,1,361,No,Approve,89
APP00191,5,3,1,1,427,Yes,Decline,56
APP00192,1,4,3,2,846,No,Approve,76
APP00193,3,3,3,5,443,No,Decline,54
APP00194,2,1,3,5,497,No,Approve,73
APP00195,4,1,2,4,721,Yes,Approve,63
APP00196,4,2,4,2,756,Yes,Decline,43
APP00197,5,4,5,5,831,No,Approve,83
APP00198,5,4,4,4,801,No,Decline,56
APP00199,2,2,5,2,796,No,Approve,66
APP00200,5,5,1,2,766,Yes,Decline,48
APP00201,2,5,3,1,718,Yes,Approve,87
APP00202,5,3,1,5,456,Yes,Approve,63
APP00203,3,3,3,4,328,No,Decline,59
APP00204,5,4,1,3,590,Yes,Decline,49
APP00205,4,1,1,5,657,Yes,Approve,87
APP00206,4,4,5,3,763,No,Decline,42
APP00207,4,4,5,2,441,Yes,Approve,90
APP00208,4,4,2,3,391,No,Approve,69
APP00209,5,4,4,2,704,Yes,Approve,82
APP00210,4,3,1,2,325,Yes,Decline,42
APP00211,3,5,1,5,387,Yes,Approve,90
APP00212,5,5,1,5,834,Yes,Approve,79
APP00213,5,1,1,5,484,No,Approve,70
APP00214,2,2,5,4,386,No,Decline,57
APP00215,3,4,5,1,803,No,Approve,78
APP00216,3,4,2,4,324,No,Decline,41
APP00217,4,3,1,1,401,Yes,Decline,60
APP00218,2,2,3,1,457,Yes,Decline,58
APP00219,2,1,5,3,485,Yes,Approve,66
APP00220,3,4,1,3,445,Yes,Decline,43
APP00221,3,4,1,1,507,Yes,Decline,60
APP00222,5,2,4,5,816,Yes,Approve,78
APP00223,3,1,3,4,716,Yes,Decline,47
APP00224,4,2,1,3,403,Yes,Decline,41
APP00225,2,3,5,4,756,Yes,Approve,75
APP00226,5,2,2,3,472,No,Approve,80
APP00227,4,5,4,1,301,No,Approve,74
APP00228,3,2,1,1,793,Yes,Approve,79
APP00229,4,3,2,5,822,Yes,Decline,56
APP00230,5,5,1,3,391,Yes,Decline,50
APP00231,2,5,3,4,515,No,Decline,47
APP00232,3,3,4,3,551,No,Decline,60
APP00233,3,2,4,5,636,Yes,Decline,60
APP00234,2,1,5,4,304,No,Approve,84
APP00235,2,4,5,4,702,Yes,Approve,83
APP00236,1,5,1,4,426,Yes,Approve,90
APP00237,5,3,4,2,308,Yes,Approve,64
APP00238,2,4,1,2,320,No,Approve,63
APP00239,3,2,1,5,610,No,Approve,83
APP00240,2,4,3,1,587,Yes,Decline,54
APP00241,5,2,1,2,705,Yes,Approve,85
APP00242,5,5,4,2,498,No,Decline,57
APP00243,5,5,2,1,431,No,Approve,76
APP00244,3,5,2,5,580,Yes,Decline,48
APP00245,1,5,5,3,764,Yes,Approve,83
APP00246,1,3,4,4,580,Yes,Approve,67
APP00247,4,4,3,5,344,No,Approve,73
APP00248,1,3,4,5,759,Yes,Decline,54
APP00249,2,3,1,5,325,No,Approve,65
APP00250,4,1,2,2,468,Yes,Decline,54
APP00251,1,1,4,4,324,Yes,Decline,44
APP00252,3,3,2,1,784,Yes,Approve,80
APP00253,1,3,5,2,374,No,Approve,61
APP00254,4,1,4,5,427,Yes,Approve,79
APP00255,1,4,3,1,430,Yes,Decline,43
APP00256,1,3,5,4,367,Yes,Approve,68
APP00257,5,1,3,4,711,Yes,Decline,43
APP00258,4,2,5,5,310,Yes,Approve,88
APP00259,4,5,5,1,647,No,Approve,69
APP00260,1,4,5,3,497,Yes,Approve,83
APP00261,5,1,5,2,429,No,Decline,40
APP00262,3,4,4,5,755,Yes,Decline,56
APP00263,1,1,2,3,746,Yes,Decline,48
APP00264,3,3,5,5,449,Yes,Approve,81
APP00265,5,3,3,3,308,Yes,Decline,59
APP00266,2,1,2,5,355,Yes,Approve,82
APP00267,2,2,1,3,493,No,Decline,52
APP00268,4,5,3,5,643,No,Approve,84
APP00269,3,2,1,4,343,Yes,Approve,66
APP00270,2,2,4,5,518,Yes,Decline,40
APP00271,3,4,2,4,488,No,Approve,87
APP00272,3,1,1,3,330,Yes,Decline,40
APP00273,3,4,2,5,668,Yes,Decline,49
APP00274,2,2,3,2,524,No,Decline,41
APP00275,2,3,5,2,482,Yes,Approve,86
APP00276,3,1,1,2,688,No,Decline,51
APP00277,3,2,3,4,545,Yes,Decline,47
APP00278,2,5,5,4,366,Yes,Approve,63
APP00279,2,2,5,4,683,Yes,Decline,48
APP00280,2,1,5,5,493,No,Approve,67
APP00281,2,3,2,1,586,No,Decline,58
APP00282,5,4,2,1,781,No,Approve,72
APP00283,1,2,5,4,821,Yes,Approve,79
APP00284,4,2,3,3,838,No,Approve,73
APP00285,4,4,3,5,710,No,Approve,85
APP00286,5,1,2,2,507,Yes,Approve,90
APP00287,4,2,3,4,686,Yes,Decline,55
APP00288,3,5,1,2,386,Yes,Approve,63
APP00289,3,2,5,1,776,Yes,Approve,73
APP00290,4,4,4,4,718,Yes,Approve,61
APP00291,3,3,4,1,483,Yes,Approve,71
APP00292,1,3,1,3,813,Yes,Decline,56
APP00293,1,3,2,1,421,Yes,Approve,81
APP00294,5,2,3,2,637,Yes,Decline,42
APP00295,3,2,5,2,567,Yes,Approve,87
APP00296,3,3,4,4,312,Yes,Decline,59
APP00297,2,4,2,2,514,Yes,Approve,72
APP00298,5,5,4,4,648,No,Approve,73
APP00299,2,4,4,2,749,Yes,Decline,60
APP00300,1,3,2,5,431,Yes,Approve,75
APP00301,1,4,3,3,530,Yes,Approve,87
APP00302,4,5,3,3,323,Yes,Approve,83
APP00303,2,2,3,5,700,No,Decline,42
APP00304,4,1,5,4,492,Yes,Decline,53
APP00305,5,4,3,1,475,Yes,Approve,61
APP00306,2,1,5,4,327,Yes,Approve,75
APP00307,4,3,2,2,598,No,Decline,44
APP00308,4,1,3,5,311,Yes,Decline,44
APP00309,4,2,1,2,849,Yes,Approve,66
APP00310,1,4,2,2,510,Yes,Approve,87
APP00311,4,2,5,5,617,Yes,Approve,85
APP00312,4,3,2,1,446,Yes,Approve,72
APP00313,5,2,5,3,802,Yes,Approve,65
APP00314,1,1,3,4,655,No,Approve,76
APP00315,3,4,5,2,725,Yes,Approve,85
APP00316,4,4,4,2,397,Yes,Approve,79
APP00317,2,2,3,5,598,No,Decline,42
APP00318,2,4,4,5,424,No,Decline,44
APP00319,1,5,3,4,761,Yes,Decline,44
APP00320,5,1,4,1,374,No,Decline,53
APP00321,4,4,3,4,499,Yes,Approve,83
APP00322,3,1,2,3,775,Yes,Decline,40
APP00323,1,5,2,4,443,Yes,Decline,44
APP00324,2,2,1,5,402,Yes,Decline,57
APP00325,5,4,2,1,311,No,Decline,47
APP00326,4,3,2,2,335,No,Decline,49
APP00327,2,4,1,5,405,Yes,Approve,74
APP00328,4,1,5,1,349,No,Decline,59
APP00329,2,2,3,2,504,Yes,Approve,89
APP00330,1,1,3,2,364,Yes,Approve,66
APP00331,2,2,1,4,824,Yes,Decline,46
APP00332,3,5,2,5,512,No,Decline,60
APP00333,4,1,2,2,408,Yes,Approve,65
APP00334,1,4,3,1,698,Yes,Decline,51
APP00335,1,3,5,3,344,Yes,Decline,54
APP00336,4,3,5,4,404,No,Decline,53
APP00337,5,2,3,1,632,No,Approve,90
APP00338,4,2,3,2,625,No,Approve,84
APP00339,4,1,3,1,759,Yes,Approve,82
APP00340,2,5,5,1,538,Yes,Approve,80
APP00341,1,3,2,4,549,No,Approve,88
APP00342,2,3,4,3,506,Yes,Decline,43
APP00343,1,2,5,4,636,Yes,Decline,53
APP00344,1,5,4,3,324,Yes,Decline,60
APP00345,3,3,2,2,355,No,Approve,86
APP00346,2,2,5,4,833,Yes,Approve,82
APP00347,1,1,4,1,497,Yes,Approve,68
APP00348,2,2,1,2,509,Yes,Decline,49
APP00349,4,4,3,2,502,Yes,Decline,45
APP00350,5,2,3,3,759,No,Decline,51
APP00351,3,4,1,3,707,Yes,Decline,52
APP00352,4,4,5,5,743,No,Approve,70
APP00353,4,1,4,4,385,No,Approve,90
APP00354,5,5,2,5,479,Yes,Decline,59
APP00355,3,4,3,4,792,Yes,Approve,69
APP00356,4,2,2,2,304,Yes,Decline,48
APP00357,3,4,4,4,704,No,Approve,72
APP00358,4,4,3,5,372,Yes,Approve,63
APP00359,1,4,5,2,498,No,Decline,42
APP00360,3,5,4,3,359,No,Decline,56
APP00361,2,2,4,1,670,No,Approve,67
APP00362,1,2,3,5,766,No,Approve,83
APP00363,3,2,5,5,465,Yes,Decline,49
APP00364,1,4,4,5,382,Yes,Approve,89
APP00365,4,2,4,3,609,Yes,Decline,52
APP00366,4,5,3,4,391,Yes,Approve,74
APP00367,3,2,3,2,707,No,Approve,76
APP00368,2,4,1,1,371,No,Decline,40
APP00369,5,4,3,4,474,Yes,Approve,66
APP00370,2,2,4,2,814,No,Decline,51
APP00371,5,2,2,2,360,No,Approve,68
APP00372,2,3,4,4,411,No,Approve,88
APP00373,1,3,1,4,427,Yes,Decline,50
APP00374,1,5,2,4,796,No,Approve,61
APP00375,1,1,3,1,342,Yes,Decline,46
APP00376,1,4,5,5,572,No,Approve,73
APP00377,3,5,4,3,679,No,Approve,70
APP00378,3,2,3,4,687,No,Approve,61
APP00379,3,1,1,4,711,No,Approve,62
APP00380,1,5,1,5,586,No,Decline,48
APP00381,2,3,4,5,786,Yes,Approve,88
APP00382,2,1,3,1,668,No,Approve,82
APP00383,3,4,2,5,796,Yes,Approve,87
APP00384,1,3,4,4,402,No,Approve,79
APP00385,5,2,2,5,816,Yes,Decline,58
APP00386,1,3,5,4,472,No,Approve,71
APP00387,4,5,2,2,516,Yes,Decline,47
APP00388,1,1,4,1,464,No,Approve,82
APP00389,4,3,2,3,787,No,Decline,60
APP00390,1,2,5,4,392,No,Approve,82
APP00391,2,5,5,1,651,Yes,Approve,61
APP00392,4,5,4,2,528,Yes,Approve,85
APP00393,1,1,1,3,492,No,Decline,58
APP00394,5,3,2,3,689,Yes,Decline,47
APP00395,3,1,5,5,494,No,Decline,40
APP00396,3,3,2,5,527,Yes,Approve,67
APP00397,5,4,3,2,603,No,Decline,40
APP00398,4,2,5,3,449,No,Approve,71
APP00399,1,5,3,3,814,No,Approve,84
APP00400,3,5,4,2,806,Yes,Decline,47
APP00401,1,3,2,2,530,No,Approve,64
APP00402,2,4,4,3,463,No,Decline,43
APP00403,4,3,4,4,656,No,Approve,75
APP00404,1,5,3,3,499,No,Approve,65
APP00405,4,1,2,3,355,No,Approve,75
APP00406,3,4,2,5,440,Yes,Approve,85
APP00407,3,2,2,2,500,No,Approve,70
APP00408,3,5,1,2,685,No,Decline,40
APP00409,2,1,1,3,785,Yes,Approve,67
APP00410,1,5,3,5,744,No,Decline,43
APP00411,4,2,1,1,546,Yes,Approve,80
APP00412,5,2,4,1,774,No,Decline,59
APP00413,4,3,4,3,311,Yes,Approve,81
APP00414,1,4,5,2,323,Yes,Decline,45
APP00415,4,3,1,5,485,Yes,Approve,76
APP00416,4,3,5,2,401,Yes,Approve,81
APP00417,5,2,4,1,703,Yes,Approve,85
APP00418,5,4,1,5,427,No,Approve,74
APP00419,1,2,5,2,305,Yes,Decline,53
APP00420,1,1,2,5,511,No,Decline,60
APP00421,5,3,1,1,427,Yes,Decline,45
APP00422,5,2,4,1,554,Yes,Approve,63
APP00423,3,5,4,2,802,No,Approve,73
APP00424,3,5,5,5,514,No,Approve,73
APP00425,1,2,1,2,445,Yes,Approve,82
APP00426,2,5,5,2,667,Yes,Decline,53
APP00427,5,4,1,5,561,Yes,Approve,86
APP00428,2,4,4,1,560,No,Approve,81
APP00429,2,5,2,1,575,No,Approve,84
APP00430,2,3,5,5,467,Yes,Approve,84
APP00431,3,4,4,1,553,Yes,Decline,49
APP00432,5,1,5,4,367,Yes,Decline,47
APP00433,3,3,3,2,531,Yes,Decline,45
APP00434,4,2,4,1,426,Yes,Decline,46
APP00435,3,5,4,1,841,Yes,Approve,86
APP00436,3,5,3,5,401,No,Approve,76
APP00437,3,4,2,3,844,Yes,Decline,50
APP00438,4,5,2,3,309,No,Approve,65
APP00439,2,2,2,4,573,Yes,Approve,85
APP00440,3,2,5,4,768,Yes,Approve,86
APP00441,4,5,3,3,738,Yes,Approve,62
APP00442,2,3,1,3,716,No,Approve,85
APP00443,1,1,2,1,469,Yes,Decline,45
APP00444,3,5,4,1,734,No,Decline,45
APP00445,2,4,4,5,845,No,Approve,86
APP00446,1,5,2,1,735,No,Approve,65
APP00447,3,2,5,5,343,No,Approve,87
APP00448,5,2,2,1,675,No,Decline,50
APP00449,3,1,4,4,688,Yes,Approve,72
APP00450,3,2,5,1,597,Yes,Decline,47
APP00451,3,2,1,5,703,Yes,Decline,58
APP00452,5,1,4,5,799,Yes,Decline,59
APP00453,5,4,3,3,662,Yes,Decline,40
APP00454,2,4,3,1,403,Yes,Approve,62
APP00455,1,5,5,2,720,Yes,Decline,52
APP00456,1,2,3,2,781,Yes,Approve,71
APP00457,3,4,2,5,575,Yes,Decline,59
APP00458,4,2,2,3,744,Yes,Approve,68
APP00459,2,1,2,3,341,Yes,Approve,85
APP00460,3,1,2,2,790,No,Approve,66
APP00461,1,4,4,5,807,No,Decline,57
APP00462,2,3,4,5,698,Yes,Approve,85
APP00463,1,2,2,3,812,Yes,Decline,46
APP00464,2,1,3,4,308,Yes,Approve,83
APP00465,3,4,1,4,553,No,Decline,58
APP00466,5,2,2,3,417,No,Approve,86
APP00467,2,4,2,4,405,No,Approve,84
APP00468,5,2,2,5,452,Yes,Approve,72
APP00469,4,1,3,2,449,Yes,Decline,48
APP00470,2,1,1,4,717,Yes,Approve,79
APP00471,2,2,3,4,790,Yes,Approve,84
APP00472,1,3,1,3,672,Yes,Approve,67
APP00473,4,2,3,1,486,Yes,Approve,62
APP00474,3,2,3,4,586,No,Decline,43
APP00475,4,2,3,4,672,Yes,Decline,46
APP00476,1,1,5,2,639,Yes,Decline,47
APP00477,5,5,5,3,543,No,Approve,63
APP00478,5,4,1,1,433,No,Decline,53
APP00479,1,1,5,2,497,No,Approve,78
APP00480,1,5,5,3,608,No,Decline,46
APP00481,2,5,2,1,430,Yes,Approve,88
APP00482,3,5,3,3,759,No,Approve,75
APP00483,4,1,4,4,836,No,Decline,47
APP00484,1,2,5,3,432,Yes,Approve,72
APP00485,1,2,4,4,845,No,Approve,76
APP00486,2,4,5,4,699,Yes,Decline,44
APP00487,2,2,1,2,523,Yes,Decline,57
APP00488,5,4,5,5,565,Yes,Decline,40
APP00489,3,3,5,1,475,Yes,Decline,54
APP00490,2,3,1,2,584,No,Approve,74
APP00491,1,2,2,5,418,Yes,Decline,57
APP00492,5,3,3,1,570,No,Approve,62
APP00493,5,3,3,1,310,No,Approve,66
APP00494,3,2,3,1,850,No,Decline,54
APP00495,5,1,4,3,511,No,Approve,89
APP00496,3,3,2,5,704,Yes,Decline,54
APP00497,4,3,2,4,395,Yes,Decline,54
APP00498,2,2,2,5,802,No,Approve,69
APP00499,3,1,3,2,481,No,Decline,51
APP00500,5,2,1,2,373,Yes,Approve,83
APP00501,4,1,5,2,312,No,Approve,69
APP00502,4,1,1,1,344,Yes,Approve,64
APP00503,1,3,2,5,313,No,Approve,89
APP00504,1,5,3,1,507,Yes,Decline,40
APP00505,5,4,2,3,639,Yes,Approve,88
APP00506,1,5,3,5,426,Yes,Decline,55
APP00507,1,5,3,1,823,No,Decline,42
APP00508,2,1,2,1,532,Yes,Approve,66
APP00509,3,3,2,4,415,Yes,Decline,49
APP00510,2,1,3,3,378,No,Decline,47
APP00511,3,1,1,5,454,Yes,Decline,47
APP00512,3,5,2,4,453,No,Approve,73
APP00513,3,5,3,3,406,Yes,Approve,83
APP00514,3,3,1,1,452,No,Approve,71
APP00515,3,2,4,4,789,No,Decline,49
APP00516,5,4,3,2,392,Yes,Decline,47
APP00517,2,4,3,3,806,Yes,Decline,48
APP00518,4,5,3,2,551,Yes,Approve,84
APP00519,4,5,5,4,845,Yes,Approve,75
APP00520,4,1,5,4,839,Yes,Decline,54
APP00521,2,1,2,3,302,Yes,Approve,84
APP00522,3,5,4,2,412,Yes,Decline,41
APP00523,3,2,3,4,447,No,Approve,62
APP00524,4,2,2,2,357,No,Approve,75
APP00525,2,4,1,4,680,Yes,Decline,47
APP00526,5,1,4,5,461,Yes,Decline,46
APP00527,2,1,2,1,312,Yes,Approve,63
APP00528,2,2,4,2,840,No,Approve,66
APP00529,4,4,3,4,313,Yes,Decline,59
APP00530,1,1,5,2,815,Yes,Decline,49
APP00531,4,4,5,3,813,Yes,Approve,65
APP00532,4,2,3,1,834,Yes,Decline,54
APP00533,2,4,5,1,524,Yes,Decline,48
APP00534,5,5,1,4,788,Yes,Approve,87
APP00535,4,4,2,1,680,No,Approve,81
APP00536,3,1,1,1,671,No,Decline,52
APP00537,1,2,3,2,409,Yes,Approve,61
APP00538,1,3,2,5,506,No,Approve,78
APP00539,2,3,1,5,345,Yes,Decline,42
APP00540,4,1,1,3,395,No,Approve,90
APP00541,3,3,4,5,499,Yes,Decline,40
APP00542,3,2,1,3,717,No,Approve,65
APP00543,1,5,2,1,691,Yes,Approve,72
APP00544,3,2,2,4,380,No,Decline,42
APP00545,2,2,2,2,813,Yes,Decline,45
APP00546,5,5,3,4,434,Yes,Approve,86
APP00547,5,4,1,4,544,Yes,Approve,63
APP00548,5,1,2,5,809,Yes,Approve,79
APP00549,2,3,5,1,810,Yes,Decline,40
APP00550,2,3,2,1,586,Yes,Decline,60
APP00551,1,1,2,4,564,No,Approve,62
APP00552,4,2,1,5,799,Yes,Decline,56
APP00553,4,4,5,2,751,Yes,Decline,58
APP00554,3,3,1,4,818,Yes,Approve,79
APP00555,1,5,1,2,308,Yes,Approve,83
APP00556,3,4,2,5,708,No,Decline,46
APP00557,4,4,1,3,777,Yes,Decline,54
APP00558,4,1,1,2,410,No,Approve,74
APP00559,4,2,4,3,366,Yes,Approve,65
APP00560,4,2,4,1,585,Yes,Approve,78
APP00561,2,4,2,2,627,Yes,Approve,74
APP00562,4,1,3,4,784,Yes,Approve,78
APP00563,1,4,3,3,480,Yes,Decline,53
APP00564,3,4,1,3,762,No,Decline,44
APP00565,2,3,2,1,394,No,Approve,73
APP00566,3,3,2,2,657,No,Approve,67
APP00567,4,5,2,4,663,No,Approve,70
APP00568,4,1,5,5,503,Yes,Approve,76
APP00569,5,5,2,3,624,Yes,Approve,82
APP00570,2,4,3,1,716,Yes,Approve,69
APP00571,1,4,2,4,399,Yes,Approve,86
