Customer_ID,Revenue,Net_Profit,Debt_to_Equity,Current_Ratio,Audit_Status
CUS0214,500774214.35,39401521.025644176,1.55,1.12,Clean
CUS0215,94598849.57,4570122.076378012,1.43,0.98,Qualified
CUS0216,53414842.27,1086408.9954716912,1.83,2.19,Qualified
CUS0217,289319639.53,-13874510.941263445,0.41,0.77,Qualified
CUS0218,728870523.04,102744643.65359782,1.16,1.3,Clean
CUS0219,365711157.06,8100657.285411811,1.22,1.4,Qualified
CUS0220,826184761.37,87418935.66295232,1.87,0.76,Clean
CUS0221,396934194.16,59033762.98885205,1.08,2.38,Clean
CUS0222,203062592.14,15692804.85838117,1.55,0.59,Clean
CUS0223,715023887.09,107962503.36265038,1.61,0.8,Clean
CUS0224,331326018.4,34215053.97008223,0.57,2.48,Qualified
CUS0225,595756032.35,45771189.21524486,1.58,1.48,Qualified
CUS0226,477518137.0,-21889794.85079567,1.06,0.72,Qualified
CUS0227,585783631.14,87392300.45106915,2.2,1.88,Clean
CUS0228,598925067.87,9811955.354805972,2.0,2.44,Clean
CUS0229,722793111.73,69301995.70953764,0.59,1.76,Qualified
CUS0230,152036829.76,18272048.27596836,0.19,2.4,Clean
CUS0231,194830406.19,11740410.439306678,1.31,1.33,Clean
CUS0232,413325522.28,59412681.735237405,2.77,2.25,Clean
CUS0233,707246355.99,56346885.02277004,1.73,2.5,Qualified
CUS0234,527849765.64,15011070.64617443,0.6,2.32,Qualified
CUS0235,548541853.15,65258457.71002068,2.62,1.86,Qualified
CUS0236,612026197.18,-1183632.7863212447,0.81,1.62,Clean
CUS0237,941778118.6,184178907.56766036,2.34,1.91,Qualified
CUS0238,320455541.29,11921200.433587465,2.81,2.09,Qualified
CUS0239,291350428.62,27203156.722053543,1.68,2.29,Qualified
CUS0240,819285572.83,154560038.72656718,2.43,1.08,Qualified
CUS0241,955537149.09,-28897966.959739257,2.78,1.81,Qualified
CUS0242,217916874.04,34210318.0691409,0.89,1.62,Qualified
CUS0243,141586590.03,14713573.46413273,1.8,0.98,Clean
CUS0244,639754850.54,-23592382.474310078,1.3,1.93,Clean
CUS0245,682786026.65,-10674158.813357558,2.9,2.46,Clean
CUS0246,409872914.29,75317437.08707482,2.65,1.45,Clean
CUS0247,757131504.11,16513991.629315875,0.93,0.62,Clean
CUS0248,654037236.77,5268302.516673214,2.24,2.2,Clean
CUS0249,913663577.04,-5695601.607089693,2.66,0.85,Clean
CUS0250,997185944.07,49110055.1320935,1.54,2.37,Qualified
CUS0251,877359452.08,-41835313.138991654,1.75,0.71,Qualified
CUS0252,288138844.09,56842552.295849055,1.68,1.49,Clean
CUS0253,851804439.89,57075320.2555725,0.66,0.73,Clean
CUS0254,732463637.64,82088177.47291265,2.18,0.53,Qualified
CUS0255,791813826.1,72803564.22321476,2.3,0.85,Qualified
CUS0256,827854876.15,65251657.718913056,0.35,1.84,Clean
CUS0257,981776766.48,68099496.91550764,2.81,0.51,Qualified
CUS0258,239343646.54,33134534.08328872,2.87,1.1,Clean
CUS0259,265245385.06,10580113.924505446,0.79,1.84,Qualified
CUS0260,310272310.29,15933771.76941285,1.56,2.29,Qualified
CUS0261,691838925.53,75879392.96094593,2.83,1.24,Clean
CUS0262,223032957.93,-3704087.7513847137,0.54,2.0,Qualified
CUS0263,418766387.35,36561918.398954585,1.47,1.58,Clean
CUS0264,763050321.87,91631264.1505376,1.83,2.07,Qualified
CUS0265,530532258.45,21458022.920300834,2.76,0.72,Clean
CUS0266,574838165.86,-7206691.27709494,1.05,1.54,Clean
CUS0267,681893761.75,88120784.11877067,1.52,2.3,Qualified
CUS0268,809648622.76,51297778.200864844,1.59,1.41,Clean
CUS0269,561003213.0,66306051.39055341,0.99,0.54,Qualified
CUS0270,817370959.8,111531183.49884593,1.78,0.59,Qualified
CUS0271,701882953.71,59864211.98541444,0.27,2.29,Qualified
CUS0272,36576196.67,1909889.530596273,2.33,2.03,Qualified
CUS0273,377588616.04,65259924.80410182,1.4,2.33,Qualified
CUS0274,378767306.13,45710618.952555455,2.02,1.58,Qualified
CUS0275,123040001.45,24387967.119553532,1.24,0.75,Clean
CUS0276,835647503.61,116192484.89653428,2.94,1.43,Qualified
CUS0277,534273940.45,83261309.29934895,0.82,1.19,Qualified
CUS0278,192538048.98,32500816.149349898,2.32,0.56,Qualified
CUS0279,616848591.17,113536832.53104459,2.68,0.98,Clean
CUS0280,105392229.53,-4384941.836235567,1.83,1.91,Clean
CUS0281,248510480.46,-9677201.262951165,1.37,1.58,Clean
CUS0282,144434897.24,28651674.824395314,0.78,2.33,Qualified
CUS0283,579587440.56,82958989.29882787,2.47,0.97,Clean
CUS0284,985767082.92,79169678.66192704,1.3,1.05,Clean
CUS0285,627863171.96,35662719.56765278,1.54,2.44,Qualified
CUS0286,786875573.0,23357311.033904303,1.31,0.8,Qualified
CUS0287,187959583.85,15879213.986512704,0.8,0.95,Clean
CUS0288,806747279.14,144153874.3163279,1.73,2.44,Clean
CUS0289,391476953.56,5382381.950375946,1.06,0.66,Qualified
CUS0290,847897718.99,-22794883.01354326,2.2,0.88,Qualified
CUS0291,380282135.09,38500661.42917001,0.21,0.65,Clean
CUS0292,481997235.44,80671136.40854909,1.07,2.41,Clean
CUS0293,215748733.19,-538093.6495539537,2.25,1.99,Qualified
CUS0294,914869090.29,113358292.28168206,2.14,1.29,Clean
CUS0295,554318896.09,79754554.94751489,1.2,1.57,Qualified
CUS0296,311880172.87,12447497.763407512,2.66,1.43,Qualified
CUS0297,762820824.46,22929113.357532736,0.69,1.13,Clean
CUS0298,564712103.83,3003435.204310453,0.52,1.02,Qualified
CUS0299,298716326.07,-284394.1681791313,0.77,1.64,Clean
